"","average","sd","ratio","ava","avb","cumsum","p","comparison"
"aa0fccbbfb498555916e03c270754a34",4.48148148148148e-05,9.94459408418052e-05,0.450644987974969,8.06666666666667,0,0.998612049121262,0.01,"G1_G0"
"02c588455cf584b99ce7da25edbe2e5b",4.44444444444444e-05,0.000127957732149844,0.347336918978824,8,0,0.998661818267079,0.44,"G1_G0"
"bea115d6c60b0df4f91b6fff8b7901ce",4.2962962962963e-05,0.000161111111111111,0.266666666666667,7.73333333333333,0,0.998709928441369,0.01,"G1_G0"
"132f268a71872efe8a4c6aea3cb82fe9",4.17283950617284e-05,0.000142920755482325,0.291968755139199,6.93333333333333,0.666666666666667,0.998756656139386,0.08,"G1_G0"
"c927be1b570578a424ca689761f94627",4.03703703703704e-05,0.000151388888888889,0.266666666666667,7.26666666666667,0,0.998801863113503,0.01,"G1_G0"
"b37560fba4127cf6dde95d8884e33f3c",3.77777777777778e-05,0.000100638668186694,0.375380342948264,6.8,0,0.998844166887448,0.01,"G1_G0"
"1c0b7d810b0b28e6490830cc204d61a8",3.74074074074074e-05,0.000140277777777778,0.266666666666667,6.73333333333333,0,0.998886055918511,0.01,"G1_G0"
"d71eb8ea50f2ef8487a0dc1559746e8f",3.37037037037037e-05,0.000126388888888889,0.266666666666667,6.06666666666667,0,0.998923797520756,0.01,"G1_G0"
"a165bf51d50346e911f950396eded741",2.81481481481481e-05,8.69138213731223e-05,0.3238627378643,5.06666666666667,0,0.998955317979773,0.56,"G1_G0"
"60c6622e553962a5dcb78fbe549ab7fa",2.59259259259259e-05,7.29284759900361e-05,0.355497980370083,4.66666666666667,0,0.9989843499815,0.01,"G1_G0"
"5a44d3b6635b35994d21f4c9c87ed91e",2.33333333333333e-05,8.75e-05,0.266666666666667,4.2,0,0.999010478783054,0.43,"G1_G0"
"9b014499e32815d4eea28f430878b671",2.2962962962963e-05,6.80980592896181e-05,0.337204366798508,4.13333333333333,0,0.999036192841726,0.01,"G1_G0"
"426a4453ab2973d926b156da5710819a",2.25925925925926e-05,6.57698441429586e-05,0.343509900122082,4.06666666666667,0,0.999061492157516,0.79,"G1_G0"
"3206015154602ad2f550885ff96e466e",2.25432098765432e-05,6.61586223095561e-05,0.34074485062678,3.13333333333333,1.06666666666667,0.999086736174256,0.85,"G1_G0"
"68bcda32be34ff9e7cc262f6fe275be6",2.07407407407407e-05,7.77777777777778e-05,0.266666666666667,3.73333333333333,0,0.999109961775637,0.77,"G1_G0"
"3f98d23eb2352e0000bc95ca0f2e54ff",2.03703703703704e-05,7.63888888888889e-05,0.266666666666667,3.66666666666667,0,0.999132772634137,0.01,"G1_G0"
"a2794d9a683656c92fe04e0f5fe1e449",2e-05,5.42810148341809e-05,0.368452949177471,3.6,0,0.999155168749754,0.46,"G1_G0"
"0343e81e103065e65dcaa2637ec66d2b",2e-05,7.5e-05,0.266666666666667,3.6,0,0.999177564865372,0.01,"G1_G0"
"3feda796315faa84c5366c52d7dc744b",2e-05,7.5e-05,0.266666666666667,3.6,0,0.99919996098099,0.01,"G1_G0"
